school_name,conference,region,state,division,gender,program_url,ncaa_id
Kansas,Big 12,,,D1,W,https://kuathletics.com/sports/womens-soccer/coaches,
Kansas City,Summit,,,D1,W,https://kcroos.com/sports/womens-soccer/coaches,
Kansas State,Big 12,,,D1,W,https://kstatesports.com/sports/wsoc/coaches,
Kennesaw State,CUSA,,,D1,W,https://ksuowls.com/sports/womens-soccer/roster,
Kent State,MAC,,,D1,W,https://kentstatesports.com/sports/womens-soccer/coaches,
Kentucky,SEC,,,D1,W,https://ukathletics.com/sports/wsoc/roster,
La Salle,Atlantic 10,,,D1,W,https://goexplorers.com/sports/womens-soccer/roster,
Lafayette,Patriot,,,D1,W,,
Lamar,Southland,,,D1,W,https://lamarcardinals.com/sports/womens-soccer/roster,
Le Moyne,NEC,,,D1,W,https://lemoynedolphins.com/sports/womens-soccer/roster,
Lehigh,Patriot,,,D1,W,https://lehighsports.com/sports/womens-soccer/coaches,
Liberty,CUSA,,,D1,W,https://libertyflames.com/sports/womens-soccer/coaches,
Lindenwood,Ohio Valley,,,D1,W,http://lindenwoodlions.com/sports/womens-soccer/roster,
Lipscomb,ASUN,,,D1,W,https://lipscombsports.com/sports/womens-soccer/coaches,
Little Rock,UAC,,,D1,W,,
LIU,NEC,,,D1,W,https://liuathletics.com/sports/womens-soccer/roster,
Long Beach State,Big West,,,D1,W,https://longbeachstate.com/sports/womens-soccer/coaches,
Longwood,Big South,,,D1,W,https://longwoodlancers.com/sports/womens-soccer/roster,
Louisiana,Sun Belt,,,D1,W,https://ragincajuns.com/sports/womens-soccer/coaches,
Louisiana Tech,Sun Belt,,,D1,W,https://latechsports.com/sports/womens-soccer/roster,
Louisiana–Monroe,Sun Belt,,,D1,W,,
Louisville,ACC,,,D1,W,https://gocards.com/sports/womens-soccer/coaches,
Loyola Chicago,Atlantic 10,,,D1,W,https://gocsucougars.com/sports/womens-soccer/roster,
Loyola (MD),Patriot,,,D1,W,,
Loyola Marymount,West Coast,,,D1,W,https://lmulions.com/sports/womens-soccer/roster,
LSU,SEC,,,D1,W,https://lsusports.net/sports/womens-soccer/roster,
Maine,America East,,,D1,W,https://goblackbears.com/sports/womens-soccer/roster,
Manhattan,Metro Atlantic,,,D1,W,https://gojaspers.com/sports/womens-soccer/roster,
Marist,Metro Atlantic,,,D1,W,https://goredfoxes.com/sports/womens-soccer/roster,
Marquette,Big East,,,D1,W,https://gomarquette.com/sports/womens-soccer/coaches,
Marshall,Sun Belt,,,D1,W,https://herdzone.com/sports/womens-soccer/coaches,
Maryland,Big Ten,,,D1,W,https://umterps.com/sports/womens-soccer/coaches,
McNeese,Southland,,,D1,W,https://mcneesesports.com/sports/womens-soccer/roster,
Memphis,American,,,D1,W,https://gotigersgo.com/sports/womens-soccer/coaches,
Mercer,Southern,,,D1,W,https://mercerbears.com/sports/womens-soccer/coaches,
Mercyhurst,NEC,,,D1,W,http://hurstathletics.com/sports/womens-soccer/roster,
Merrimack,Metro Atlantic,,,D1,W,https://merrimackathletics.com/sports/wsoc/roster,
Miami (FL),ACC,,,D1,W,,
Miami (OH),MAC,,,D1,W,https://miamiredhawks.com/sports/womens-soccer/coaches,
Michigan,Big Ten,,,D1,W,https://mgoblue.com/sports/womens-soccer/coaches,
Michigan State,Big Ten,,,D1,W,https://mgoblue.com/sports/womens-soccer/coaches,
Middle Tennessee,CUSA,,,D1,W,https://goblueraiders.com/sports/womens-soccer/coaches,
Milwaukee,Horizon,,,D1,W,https://mkepanthers.com/sports/womens-soccer/roster,
Minnesota,Big Ten,,,D1,W,https://gophersports.com/sports/womens-soccer/coaches,
Mississippi State,SEC,,,D1,W,https://hailstate.com/sports/womens-soccer/coaches,
Missouri,SEC,,,D1,W,https://missouristatebears.com/sports/womens-soccer/coaches,
Missouri State,CUSA,,,D1,W,https://missouristatebears.com/sports/womens-soccer/coaches,
Monmouth,CAA,,,D1,W,https://monmouthhawks.com/sports/womens-soccer/roster,
Montana,Big Sky,,,D1,W,https://gogriz.com/sports/womens-soccer/coaches,
Morehead State,Ohio Valley,,,D1,W,https://msueagles.com/sports/womens-soccer/roster,
Mount St. Mary's,Metro Atlantic,,,D1,W,https://mountathletics.com/sports/womens-soccer/roster,
Murray State,Missouri Valley,,,D1,W,https://goracers.com/sports/womens-soccer/coaches,
Navy,Patriot,,,D1,W,https://navysports.com/sports/womens-soccer/roster,
NC State,ACC,,,D1,W,https://gopack.com/sports/womens-soccer/coaches,
Nebraska,Big Ten,,,D1,W,https://omavs.com/sports/womens-soccer/roster,
Nevada,Mountain West,,,D1,W,https://unlvrebels.com/sports/womens-soccer/roster,
New Hampshire,America East,,,D1,W,https://unhwildcats.com/sports/womens-soccer/coaches,
New Haven,NEC,,,D1,W,https://newhavenchargers.com/sports/womens-soccer/roster,
New Mexico,Mountain West,,,D1,W,,
New Mexico State,CUSA,,,D1,W,,
Niagara,Metro Atlantic,,,D1,W,https://purpleeagles.com/sports/womens-soccer/roster,
Nicholls,Southland,,,D1,W,,
NJIT,America East,,,D1,W,https://njithighlanders.com/sports/womens-soccer/roster,
North Alabama,UAC,,,D1,W,https://roarlions.com/sports/womens-soccer/roster,
North Carolina,ACC,,,D1,W,https://gopack.com/sports/womens-soccer/coaches,
North Dakota,Summit,,,D1,W,,
North Dakota State,Summit,,,D1,W,https://gobison.com/sports/womens-soccer/coaches,
North Florida,ASUN,,,D1,W,https://unfospreys.com/sports/womens-soccer/coaches,
North Texas,American,,,D1,W,https://meangreensports.com/sports/womens-soccer/coaches,
Northeastern,CAA,,,D1,W,https://nuhuskies.com/sports/womens-soccer/roster,
Northern Arizona,Big Sky,,,D1,W,https://nauathletics.com/sports/womens-soccer/roster,
Northern Colorado,Big Sky,,,D1,W,,
Northern Illinois,Horizon,,,D1,W,https://niuhuskies.com/sports/womens-soccer/roster,
Northern Iowa,Missouri Valley,,,D1,W,https://unipanthers.com/sports/womens-soccer/coaches,
Northern Kentucky,Horizon,,,D1,W,https://nkunorse.com/sports/womens-soccer/roster,
Northwestern,Big Ten,,,D1,W,https://nusports.com/sports/womens-soccer/coaches,
Northwestern State,Southland,,,D1,W,https://nusports.com/sports/womens-soccer/coaches,
Notre Dame,ACC,,,D1,W,https://fightingirish.com/sports/wsoc/roster,
Oakland,Horizon,,,D1,W,https://goldengrizzlies.com/sports/womens-soccer/roster,
Ohio,MAC,,,D1,W,https://ohiostatebuckeyes.com/sports/womens-soccer/coaches,
Ohio State,Big Ten,,,D1,W,https://ohiostatebuckeyes.com/sports/womens-soccer/coaches,
Oklahoma,SEC,,,D1,W,https://soonersports.com/sports/soccer/coaches,
Oklahoma State,Big 12,,,D1,W,https://okstate.com/sports/womens-soccer/coaches,
Old Dominion,Sun Belt,,,D1,W,,
Ole Miss,SEC,,,D1,W,https://olemisssports.com/sports/womens-soccer/coaches,
Omaha,Summit,,,D1,W,https://omavs.com/sports/womens-soccer/roster,
Oral Roberts,Summit,,,D1,W,https://oruathletics.com/sports/womens-soccer/roster,
Oregon,Big Ten,,,D1,W,https://osubeavers.com/sports/womens-soccer/coaches,
Oregon State,Pac-12,,,D1,W,https://osubeavers.com/sports/womens-soccer/coaches,
Pacific,West Coast,,,D1,W,https://pacifictigers.com/sports/womens-soccer/roster,
Penn,Ivy League,,,D1,W,https://pennathletics.com/sports/womens-soccer/roster,
Penn State,Big Ten,,,D1,W,,
Pepperdine,West Coast,,,D1,W,https://pepperdinewaves.com/sports/womens-soccer/coaches,
Pittsburgh,ACC,,,D1,W,,
Portland,West Coast,,,D1,W,https://portlandpilots.com/sports/womens-soccer/roster,
Portland State,Big Sky,,,D1,W,https://portlandpilots.com/sports/womens-soccer/roster,
Prairie View A&M,SWAC,,,D1,W,,
Presbyterian,Big South,,,D1,W,http://gobluehose.com/sports/womens-soccer/roster,
Princeton,Ivy League,,,D1,W,https://goprincetontigers.com/sports/womens-soccer/coaches,
Providence,Big East,,,D1,W,https://friars.com/sports/womens-soccer/coaches,
Purdue,Big Ten,,,D1,W,http://gomastodons.com/sports/womens-soccer/coaches,
Purdue Fort Wayne,Horizon,,,D1,W,http://gomastodons.com/sports/womens-soccer/coaches,
Queens,ASUN,,,D1,W,http://queensathletics.com/sports/womens-soccer/roster,
Quinnipiac,Metro Atlantic,,,D1,W,https://gobobcats.com/sports/womens-soccer/coaches,
Radford,Big South,,,D1,W,https://radfordathletics.com/sports/womens-soccer/coaches,
Rhode Island,Atlantic 10,,,D1,W,http://gorhody.com/sports/womens-soccer/roster,
Rice,American,,,D1,W,https://riceowls.com/sports/womens-soccer/coaches,
Richmond,Atlantic 10,,,D1,W,https://richmondspiders.com/sports/womens-soccer/coaches,
Rider,Metro Atlantic,,,D1,W,https://gobroncs.com/sports/womens-soccer/roster,
Robert Morris,Horizon,,,D1,W,https://rmucolonials.com/sports/womens-soccer/roster,
